Nombre;Poblacion;Superficie;Continente
Argentina;45376763;2780400;América
Japon;125800000;377975;Asia
Brasil;213993437;8515767;América
Alemania;83149300;357022;Europa
Canada;40334000;9984670;América
Australia;26842000;7692024;Oceanía
Egipto;112716000;1002450;África
India;1428627663;3287263;Asia
Sudafrica;62239000;1221037;África
Francia;68233000;551695;Europa
